companyId,Name,Sector,Industry
MRF,MRF Ltd,Tyres,Tyres & Tubes
BECTORFOOD,Mrs Bectors Food Specialities Ltd,FMCG,FMCG - Foods
MRUTR,Mrugesh Trading Ltd,Finance,NBFC - Others
MSPL,MSP Steel & Power Ltd,Steel,Steel - Sponge Iron
MSTCLTD,MSTC Ltd,E-Commerce/App based Aggregator,E-Commerce - Platform - Utility
MTARTECH,MTAR Technologies Ltd,Aerospace & Defence,Aerospace & Defence - Equipments
MUFIN,Mufin Green Finance Ltd,Finance,Finance & Investments - Others
MUKANDLTD,Mukand Ltd,Steel,Steel
MUKKA,Mukka Proteins Ltd,FMCG,FMCG Processing - Other
MCX,Multi Commodity Exchange of India Ltd,Financial Services,Exchanges
MUNJALAU,Munjal Auto Industries Ltd,Auto Ancillaries,Auto Ancillaries - Diversified
MUNJALSHOW,Munjal Showa Ltd,Auto Ancillaries,Auto - 2 & 3 Wheelers
MUTHOOTFIN,Muthoot Finance Ltd,Finance,Finance & Investments - Gold Loan
MUTHOOTMF,Muthoot Microfin Ltd,Finance,Finance & Investments - Microfinance
MVKAGRO,MVK Agro Food Product Ltd,Sugar,Sugar
NACLIND,NACL Industries Ltd,Agro Chemicals,Pesticides/Agrochemicals
NAHARINDUS,Nahar Industrial Enterprises Ltd,Textiles,Textiles - Composite Mills
NAHARPOLY,Nahar Polyfilms Ltd,Packaging,Packaging - BOPP
NAHARSPING,Nahar Spinning Mills Ltd,Textiles,Textiles - Hosiery/Knitwear
NSIL,Nalwa Sons Investments Ltd,Finance,Finance & Investments - Others
NAMOEWASTE,Namo eWaste Management Ltd,Miscellaneous,Recycling
NH,Narayana Hrudayalaya Ltd,Healthcare,Hospitals
NATCOPHARM,Natco Pharma Ltd,Pharmaceuticals,Pharma - Formulators
NATIONALUM,National Aluminium Company Ltd,Non Ferrous Metals,Aluminium
NFL,National Fertilizer Ltd,Fertilizers,Fertilisers
NHIT,National Highways Infra Trust,Infrastructure Investment Trusts,Infrastructure Investment Trusts
NSDL,National Securities Depository Ltd,Financial Services,Finance - Capital Markets
NATIONSTD,National Standard (India) Ltd,Realty,Engineering - General
NAVA,Nava Ltd,Diversified,Diversified
NAVINFLUOR,Navin Fluorine International Ltd,Chemicals,Chemicals - Flourine
NAVKARCORP,Navkar Corporation Ltd,Logistics,Logistics - Warehousing/Supply Chain
NAVNETEDUL,Navneet Education Ltd,Printing & Stationery,Printing & Stationery
NAZARA,Nazara Technologies Ltd,E-Commerce/App based Aggregator,Entertainment & Media
NBCC,NBCC (India) Ltd,Miscellaneous,Infra - Construction & Contracting
NBIFIN,NBI Industrial Finance Company Ltd,Finance,Finance & Investments - Others
NCC,NCC Ltd,Infrastructure Developers & Operators,Construction & Contracting
NCLIND,NCL Industries Ltd,Cement,Cement
NDRAUTO,NDR Auto Components Ltd,Auto Ancillaries,Auto Ancillaries - Diversified
NDRINVIT,NDR INVIT Trust,Infrastructure Investment Trusts,Infrastructure Investment Trusts
NEETUYOSHI,Neetu Yoshi Ltd,"Castings, Forgings & Fastners",Castings - Steel/Alloy
NELCAST,Nelcast Ltd,"Castings, Forgings & Fastners","Castings, Forgings & Fastners"
NELCO,NELCO Ltd,Telecom Equipment & Infra Services,Telecom Services
NEOGEN,Neogen Chemicals Ltd,Chemicals,Speciality Chemicals
NEPHROPLUS,Nephrocare Health Services Ltd,Healthcare,Hospitals/Medical Services
NESCO,NESCO Ltd,Realty,Realty - Commercial
NESTLEIND,Nestle India Ltd,FMCG,FMCG - Dairy Products
NETWEB,Netweb Technologies India Ltd,IT - Hardware,Data Centre
NETWORK18,Network 18 Media & Investments Ltd,Media - Print/Television/Radio,Entertainment & Media
NPST,Network People Services Technologies Ltd,IT - Software,IT Product Companies
NEULANDLAB,Neuland Laboratories Ltd,Pharmaceuticals,Pharma - API & CRAMS
NDTV,New Delhi Television Ltd,Media - Print/Television/Radio,Entertainment & Media
NEWGEN,Newgen Software Technologies Ltd,IT - Software,IT Product Companies
NIACL,New India Assurance Company Ltd,Insurance,Finance - Non Life Insurance
NXST,Nexus Select Trust,Real Estate Investment Trusts,Real Estate Investment Trusts
NGLFINE,NGL Fine Chem Ltd,Pharmaceuticals,Pharma - Animal
NHPC,NHPC Ltd,Power Generation & Distribution,Power - Generation/Distribution
NIBE,NIBE Ltd,Aerospace & Defence,Aerospace & Defence - Equipments
NIITMTS,NIIT Learning Systems Ltd,Computer Education,Computer Education
NIITLTD,NIIT Ltd,Computer Education,Computer Education
NILE,NILE Ltd,Non Ferrous Metals,Recycling
NILKAMAL,Nilkamal Ltd,Plastic products,Plastics - Plastic & Plastic Products
NINSYS,NINtec Systems Ltd,IT - Software,IT - Software
NAM-INDIA,Nippon Life India Asset Management Ltd,Finance,Finance - AMC
NIRLON,Nirlon Ltd,Infrastructure Developers & Operators,Realty - Commercial
NISUS,Nisus Finance Services Co Ltd,Finance,Finance & Investments - Others
NITCO,Nitco Ltd,Ceramic Products,Ceramics/Tiles/Sanitaryware
NITINSPIN,Nitin Spinners Ltd,Textiles,Textiles - Spinning
NITTAGELA,Nitta Gelatin India Ltd,Chemicals,Chemicals - Organic
NIVABUPA,Niva Bupa Health Insurance Company Ltd,Insurance,Finance - Insurance
NLCINDIA,NLC India Ltd,Power Generation & Distribution,Power - Generation/Distribution
NMDC,NMDC Ltd,Mining & Mineral products,Mining/Minerals - Iron Ore
NSLNISP,NMDC Steel Ltd,Steel,Steel
NOCIL,NOCIL Ltd,Chemicals,Petrochem - Polymers
NORTHARC,Northern Arc Capital Ltd,Finance,Finance & Investments - Microfinance
NOVARTIND,Novartis India Ltd,Pharmaceuticals,Pharma - MNC bulk Drugs
NRAIL,N R Agarwal Industries Ltd,Paper,Paper
NRBBEARING,NRB Bearings Ltd,Bearings,Bearings
NTPCGREEN,NTPC Green Energy Ltd,Power Generation & Distribution,Power - Generation/Distribution
NTPC,NTPC Ltd,Power Generation & Distribution,Power - Generation/Distribution
NUCLEUS,Nucleus Software Exports Ltd,IT - Software,IT Product Companies
NRL,Nupur Recyclers Ltd,Trading,Trading
NWIL,Nurture Well Industries Ltd,Finance,Diversified
